"id","url","title","rating","user_rated","chapters","views","bookmarked","last_update"
48,https://www.mgeko.cc/manga/apocalyptic-food-stall/,Apocalyptic Food stall,"3.6","5","0-eng-li","4.0 K","190","7 hours, 17 minutes"
49,https://www.mgeko.cc/manga/medical-top-surgeon/,Medical Top Surgeon,"4.4","10","9-eng-li","19 K","233","4 hours, 28 minutes"
50,https://www.mgeko.cc/manga/steel-covenant/,Steel Covenant,"4.2","6","04-eng-li","15 K","248","9 hours, 18 minutes"
51,https://www.mgeko.cc/manga/the-evil-alchemist-cant-handle-his-own-experiment/,The Evil Alchemist Can't Handle His Own Experiment,"4.0","8","7-eng-li","21 K","262","13 hours, 5 minutes"
52,https://www.mgeko.cc/manga/the-hero-wants-a-married-woman-as-a-reward/,The Hero Wants a Married Woman as a Reward,"3.9","11","20-eng-li","49 K","315","13 hours, 6 minutes"
53,https://www.mgeko.cc/manga/noipa-chan-wa-abunai/,Noipa-chan Is Dangerous!,"4.3","9","5-eng-li","18 K","204","13 hours, 6 minutes"
54,https://www.mgeko.cc/manga/deadly-hour/,Deadly Hour,"3.0","2","3-eng-li","6.2 K","92","10 hours, 21 minutes"
55,https://www.mgeko.cc/manga/even-with-a-mana-stat-of-0-06-ill-become-the-strongest-with-just-my-skill/,"Even with a Mana stat of 0.06, I'll become the strongest with just my skill","3.4","5","1-eng-li","11 K","316","14 hours, 20 minutes"
56,https://www.mgeko.cc/manga/muscle-power/,Unstoppable Muscle Power,"3.1","10","4-eng-li","19 K","261","17 hours, 5 minutes"
57,https://www.mgeko.cc/manga/errand-boy/,The Ultimate Errand Boy,"2.6","8","4-eng-li","10 K","127","1 day, 5 hours"
58,https://www.mgeko.cc/manga/dao-of-the-bizarre-immortal/,Dao of the Bizarre Immortal,"4.5","53","10-eng-li","120 K","1.1 K","21 hours, 1 minute"
59,https://www.mgeko.cc/manga/the-regressor-protects-only-me/,The Regressor Protects Only Me,"4.1","35","2-eng-li","48 K","1.0 K","1 day, 2 hours"
60,https://www.mgeko.cc/manga/s-class-spirit-masters-taming-diary/,S-Class Spirit Master's Taming Diary,"3.6","15","1-eng-li","16 K","439","2 days, 10 hours"
61,https://www.mgeko.cc/manga/unmatched-weapons-dealer/,The Unmatched Weapons Dealer ~Kabukicho’s Monsters~,"2.5","8","4-eng-li","19 K","193","2 days, 11 hours"
62,https://www.mgeko.cc/manga/we-are-not-dating/,We Are Not Dating!!,"4.4","8","120-eng-li","41 K","161","7 hours, 55 minutes"
63,https://www.mgeko.cc/manga/the-lecture-you-would-never-want-your-parents-to-give-you/,The Lecture You Would Never Want Your Parents to Give You,"4.5","8","44-5-eng-li","27 K","97","2 days, 15 hours"
64,https://www.mgeko.cc/manga/the-genius-grandson-of-namgung-clan/,The Genius Grandson of Namgung Clan,"4.3","50","11-eng-li","184 K","1.6 K","23 hours, 5 minutes"
65,https://www.mgeko.cc/manga/justice-served/,Justice Served,"4.3","11","6-eng-li","33 K","333","2 days, 2 hours"
66,https://www.mgeko.cc/manga/the-gal-sitting-behind-me-likes-me-maybe-i-m-screwed-already/,Ushiro no Seki no Gyaru ni Sukarete Shimatta -Mou Ore wa Damekamoshirenai-,"3.9","15","11-eng-li","31 K","308","4 days, 16 hours"
67,https://www.mgeko.cc/manga/with-theability-replicate-4/,"With the Ability to Replicate All Skills, Overtime Hours Change from 999 to Zero","2.0","26","5-eng-li","58 K","660","5 days, 12 hours"
68,https://www.mgeko.cc/manga/the-lost-city-of-alien-beasts/,The Lost City of Alien Beasts,"2.6","8","2-eng-li","26 K","362","5 days, 13 hours"
69,https://www.mgeko.cc/manga/ore-no-vaccine-dake-ga-zonbi-ka-shita-sekai-o-sukueru/,Ore no vaccine dake ga zonbi-ka shita sekai o sukueru,"3.9","24","1-eng-li","24 K","595","5 days, 17 hours"
70,https://www.mgeko.cc/manga/reasons-not-to-enter-a-haunted-house/,Reasons Not to Enter a Haunted house,"4.2","17","2-eng-li","23 K","371","6 days, 16 hours"
71,https://www.mgeko.cc/manga/hero-aden/,Hero Eden,"3.6","11","1-eng-li","22 K","535","6 days, 17 hours"
72,https://www.mgeko.cc/manga/the-demon-lord-reg/,The Demon Lord Regains His Memories of His Previous Life and Becomes Unrivaled,"3.8","17","4-eng-li","46 K","761","1 week"
73,https://www.mgeko.cc/manga/should-i-make-you-a-nuclear-weapon/,Should I Make You a Nuclear Weapon?,"4.3","64","10-eng-li","143 K","1.3 K","5 days, 13 hours"
74,https://www.mgeko.cc/manga/the-beginning-of-the/,The Beginning of the Primordial Era: Taking the River Styx as My daughter,"2.3","12","1-eng-li","26 K","567","1 week"
75,https://www.mgeko.cc/manga/my-cultivation-knows-no-limits/,"Strength Through Adversity, My Cultivation Knows No Limits","4.2","14","1-eng-li","41 K","825","19 hours, 51 minutes"
76,https://www.mgeko.cc/manga/juugoku-yakyuu-shounen-hyouryuuki/,Juugoku Yakyuu Shounen Hyouryuuki,"2.3","3","1-1-eng-li","12 K","86","1 week, 1 day"
77,https://www.mgeko.cc/manga/fuufu-de-itonamu-monster-farm-mezase-mattari-slow-lifeGmgi/,"Fuufu de Itonamu Monster Farm – Mezase, Mattari Slow Life","3.2","13","5-1-eng-li","55 K","480","2 days, 23 hours"
78,https://www.mgeko.cc/manga/this-country-is-fini/,This Country is Finished: Escaping Japan to Start over in Another World,"3.6","34","5-eng-li","75 K","1.0 K","2 days, 20 hours"
79,https://www.mgeko.cc/manga/bad-born-blood/,Bad Born Blood,"4.5","112","9-eng-li","232 K","2.7 K","3 days, 1 hour"
80,https://www.mgeko.cc/manga/the-return-of-the-mythical-archmage/,The Return of the Mythical Archmage,"3.9","132","26-eng-li","781 K","2.9 K","3 days, 8 hours"
81,https://www.mgeko.cc/manga/fire-fighter/,The Fire Fighter,"3.7","12","7-eng-li","39 K","522","1 week, 3 days"
82,https://www.mgeko.cc/manga/s-kyuu-boukensha-ga-ayumu-michi-tsuihou-sareta-shounen-wa-shin-no-nouryoku-buki-masutaa-de-sekai-saikyou-ni-itaru/,S-Kyuu Boukensha ga Ayumu Michi: Tsuihou Sareta Shounen wa Shin no Nouryoku 'Buki Masutaa' de Sekai Saikyou ni Itaru,"2.8","12","1-3-eng-li","46 K","690","1 week"
83,https://www.mgeko.cc/manga/an-unaware-old-man-becomes-an-overpowered-streamer/,An Unaware Old Man Becomes an Overpowered Streamer,"3.7","17","2-eng-li","44 K","726","1 week, 1 day"
84,https://www.mgeko.cc/manga/i-maxed-out-my-level-domin-ma/,I Maxed Out My Level: Dominating Dungeons and Going Viral,"2.4","28","6-eng-li","92 K","988","4 days, 1 hour"
85,https://www.mgeko.cc/manga/the-three-skills-we-received-when-combined-were-the-most-powerful/,"The Three Skills I Received, When Combined, Were The Most Powerful","3.1","34","4-eng-li","105 K","1.2 K","1 week, 4 days"
86,https://www.mgeko.cc/manga/akugyaku-hadou-no-brave-soul/,Brave Soul of Evil Domination,"3.9","23","7-eng-li","49 K","596","1 day, 8 hours"
87,https://www.mgeko.cc/manga/oh-dangun/,Legend of Dangun,"3.6","25","46-eng-li","55 K","329","5 days, 6 hours"
88,https://www.mgeko.cc/manga/player-super-justice/,Player Super Justice,"3.5","11","2-eng-li","24 K","440","1 week"
89,https://www.mgeko.cc/manga/surviving-the-cataclysm/,Surviving the Cataclysm,"3.7","10","1-eng-li","17 K","365","1 week, 5 days"
90,https://www.mgeko.cc/manga/02-marriage-no-thanks/,Marriage? No Thanks!,"2.6","8","84-eng-li","17 K","69","1 week, 5 days"
91,https://www.mgeko.cc/manga/magic-light/,The Awakening of light Magic,"3.1","24","4-eng-li","122 K","810","1 week, 5 days"
92,https://www.mgeko.cc/manga/ghost-hunter/,Ghost Hunter,"2.6","8","5-eng-li","19 K","265","3 days, 3 hours"
93,https://www.mgeko.cc/manga/vanta-black/,Vanta Black,"4.0","29","7-eng-li","68 K","695","6 days, 2 hours"
94,https://www.mgeko.cc/manga/man-eater/,Man Eater,"3.3","9","5-eng-li","23 K","255","2 days, 12 hours"
95,https://www.mgeko.cc/manga/can-t-put-a-collar-on-witches/,Majo ni Kubiwa wa Tsukerarenai,"1.5","4","1-eng-li","12 K","212","1 week, 6 days"
96,https://www.mgeko.cc/manga/mr-magical-girl/,Mr. Magical Girl,"3.2","30","22-eng-li","67 K","270","8 hours, 27 minutes"
97,https://www.mgeko.cc/manga/senpai-jitaku-keibiin-no-koyou-wa-ikaga-desu-ka/,"Senpai, Will You Hire Me As a Housemaid?","2.8","13","1-eng-li","17 K","349","2 weeks"
98,https://www.mgeko.cc/manga/hyoukaku-no-meteoria/,Hyoukaku no Meteoria,"4.4","17","4-eng-li","21 K","570","11 hours, 10 minutes"
99,https://www.mgeko.cc/manga/poison-catastrophe/,Poison Catastrophe,"3.3","12","2-eng-li","30 K","430","2 weeks"
100,https://www.mgeko.cc/manga/youngest-genuius/,Youngest Genius Broadcasting Writer,"2.8","13","9-eng-li","28 K","191","4 days, 4 hours"
101,https://www.mgeko.cc/manga/yuusha-gakuen-no-fukushuusei/,Yuusha Gakuen no Fukushuusei,"2.4","15","5-eng-li","49 K","438","2 weeks, 1 day"
102,https://www.mgeko.cc/manga/black-surge/,BLACK SURGE,"4.3","17","5-eng-li","52 K","677","4 days, 12 hours"
103,https://www.mgeko.cc/manga/the-man-living-outside-the-law/,The Man Living Outside The Law,"4.5","20","3-eng-li","49 K","751","2 weeks, 1 day"
104,https://www.mgeko.cc/manga/valhalla-sage/,Valhalla Saga,"4.6","52","9-eng-li","120 K","1.1 K","4 days, 4 hours"
105,https://www.mgeko.cc/manga/star-of-zenith/,Star of Zenith,"3.7","27","8-eng-li","101 K","965","3 days, 4 hours"
106,https://www.mgeko.cc/manga/ore-to-kimitachi-no-dungeon-sensou/,Dungeon War Between You and Me,"4.0","23","5-eng-li","43 K","649","2 weeks, 4 days"
107,https://www.mgeko.cc/manga/one-step-divine-fist/,One Step Divine Fist,"4.5","70","15-eng-li","323 K","2.3 K","2 weeks, 4 days"
108,https://www.mgeko.cc/manga/always-second-but-actually-invincible/,Always Second but Actually Invincible,"3.2","13","20-eng-li","168 K","646","2 weeks, 4 days"
109,https://www.mgeko.cc/manga/return-to-the-ancient-times-as-an-emperor/,Return to the Ancient Times as an Emperor,"2.1","16","15-eng-li","64 K","392","2 weeks, 5 days"
110,https://www.mgeko.cc/manga/return-of-the-genius-swordmaster/,Return of The Genius Swordmaster,"3.0","33","8-eng-li","271 K","1.3 K","2 weeks"
111,https://www.mgeko.cc/manga/the-poison-master-of-sacheondang-clan/,Entomologist In Sichuan Tang Clan,"4.6","128","10-eng-li","404 K","2.9 K","6 days, 8 hours"
112,https://www.mgeko.cc/manga/starting-from-level-1-ill-defeat-all-reincarnated-monsters-in-my-secret-dungeon/,Starting from Level 1: I’ll Defeat All Reincarnated Monsters in My Secret Dungeon,"2.1","16","7-eng-li","65 K","594","4 days, 11 hours"
113,https://www.mgeko.cc/manga/the-legendary-swordmaster-only-i-have-the-power-to-forge-swords-from-monsters/,The Legendary Swordmaster: Only I Have the Power to Forge Swords from Monsters,"3.5","34","8-eng-li","104 K","887","6 days, 21 hours"
114,https://www.mgeko.cc/manga/wicked-prosecutor-has-changed/,The Wicked Prosecutor Has Changed,"4.4","16","12-eng-li","57 K","684","10 hours, 58 minutes"
115,https://www.mgeko.cc/manga/sounds-like/,Sounds Like,"2.9","13","8-eng-li","33 K","257","1 day, 6 hours"
116,https://www.mgeko.cc/manga/qi-refining-level-3000-accept-the-empress-as-your-disciple/,Qi Refining Level 3000: Accept the Empress as your disciple,"4.2","17","4-eng-li","52 K","768","2 weeks, 6 days"
117,https://www.mgeko.cc/manga/dead-end-jencil/,Dead End,"3.8","13","15-eng-li","51 K","428","2 weeks, 6 days"
118,https://www.mgeko.cc/manga/the-true-raider/,THE RAIDER,"4.1","81","18-eng-li","423 K","2.4 K","21 hours, 30 minutes"
119,https://www.mgeko.cc/manga/castle-with-merchant-skills-since-i-have-been-transported-to/,"Aiming to Conquer the Demon King’s Castle with Merchant Skills ～Since I Have Been Transported to Another World, I Decided to Survive with the Strongest Items and Talk Techniques ～","4.0","13","2-eng-li","34 K","594","1 week, 3 days"
120,https://www.mgeko.cc/manga/return-of-the-sword-god-rank-civil-servant/,Return of the Sword God-Rank Civil Servant,"4.4","159","23-eng-li","1.1 M","4.7 K","2 days, 9 hours"
121,https://www.mgeko.cc/manga/reborn-as-a-barbarian-conquering-another-world/,Reborn as a Barbarian! Conquering Another World Starting from a Defeated Battle,"3.9","24","1-2-eng-li","40 K","849","5 days, 3 hours"
122,https://www.mgeko.cc/manga/a-practical-guide-to-evil/,A Practical Guide to Evil,"3.0","16","6-eng-li","34 K","320","4 days, 21 hours"
123,https://www.mgeko.cc/manga/tsuihou-sareta-dai-madoushi-no-kikan/,Return of the Banished Archmage,"3.9","18","2-eng-li","56 K","976","1 week, 6 days"
124,https://www.mgeko.cc/manga/theres-no-such-thing-as-a-bad-hero-in-the-world/,There’s No Such Thing as a Bad Hero in the World,"4.1","47","9-eng-li","146 K","1.5 K","1 day, 5 hours"
125,https://www.mgeko.cc/manga/still-taker-domination-mgt/,skill taker of other world domination,"3.6","44","7-eng-li","170 K","1.3 K","2 days, 12 hours"
